message_id,raw_text,cleaned_text,sender_name,sender_id,time,date,reactions,links,hashtags,reply_to_message_id
1107538,"زلزله‌ای شدید به بزرگی ۸.۸ ریشتر که شبه‌جزیره کامچاتکا در روسیه را لرزاند، نزدیک به پایگاه اصلی زیردریایی‌های هسته‌ای کشور در اقیانوس آرام در ریباچی، که حدود ۱۲۵ کیلومتر از مرکز زلزله فاصله دارد
بی‌ثباتی تکتونیکی در این منطقه یک خطر استراتژیک جدی برای یکی از حساس‌ترین مناطق نظامی روسیه محسوب می‌شود
این پایگاه میزبان صدها کلاهک هسته‌ای و چندین زیردریایی پیشرفته روسیه است، از جمله:

زیردریایی‌های هسته‌ای مدل دلتا-III و بورئی مجهز به موشک‌های هسته‌ای، زیردریایی‌های مدل یاسن و مدل‌های چندمنظوره دیگر با موشک‌های کروز کالیبر، اونیکس و زیریکون","زلزله‌ای شدید به بزرگی  ۸.۸  ریشتر که شبه‌جزیره کامچاتکا در روسیه را لرزاند، نزدیک به پایگاه اصلی زیردریایی‌های هسته‌ای کشور در اقیانوس آرام در ریباچی، که حدود  ۱۲۵  کیلومتر از مرکز زلزله فاصله دارد
بی‌ثباتی تکتونیکی در این منطقه یک خطر استراتژیک جدی برای یکی از حساس‌ترین مناطق نظامی روسیه محسوب می‌شود
این پایگاه میزبان صدها کلاهک هسته‌ای و چندین زیردریایی پیشرفته روسیه است، از جمله:
زیردریایی‌های هسته‌ای مدل دلتا-III و بورئی مجهز به موشک‌های هسته‌ای، زیردریایی‌های مدل یاسن و مدل‌های چندمنظوره دیگر با موشک‌های کروز کالیبر، اونیکس و زیریکون",رادیو صدای اسراییل🇮🇱,channel1395701502,14:11:55,30/07/25,"👍:123,😱:26,😁:9,❤:8,👌:2",,,
1107543,مهمانان برنامه فردا از کان فارسی رادیو صدای اسرائیل ☝️☝️☝️,مهمانان برنامه فردا از کان فارسی رادیو صدای اسرائیل ☝️☝️☝️,رادیو صدای اسراییل🇮🇱,channel1395701502,17:45:54,30/07/25,"👍:125,❤:16,🙏:4,👎:2,😁:2",,,
1107544,"لینک پخش زنده برنامه‌ هر  پنجشنبه از ساعت 15:00 به وقت اسرائیل 


https://www.kan.org.il/content/kan/kan-reka/","لینک پخش زنده برنامه‌ هر  پنجشنبه از ساعت  15 : 00  به وقت اسرائیل 
",رادیو صدای اسراییل🇮🇱,channel1395701502,17:45:54,30/07/25,"❤:96,🙏:3,👍:2,🤬:1",https://www.kan.org.il/content/kan/kan-reka/,,
1107552,https://www.youtube.com/live/ec2jEmqaU2g?si=sdskKvKbTRjVGjFQ,https://www.youtube.com/live/ec 2 jEmqaU 2 g؟si=sdskKvKbTRjVGjFQ,رادیو صدای اسراییل🇮🇱,channel1395701502,19:41:40,30/07/25,"👍:60,❤:3",https://www.youtube.com/live/ec2jEmqaU2g?si=sdskKvKbTRjVGjFQ,,
1107553,https://youtu.be/JxVeA6GSKis,https://youtu.be/JxVeA 6 GSKis,رادیو صدای اسراییل🇮🇱,channel1395701502,20:22:59,30/07/25,"❤:162,👍:17,👎:7,😁:7,👏:3",https://youtu.be/JxVeA6GSKis,,
1107554,"رئیس کنست اسرائیل: اینگونه فریادهای مرگ بر اسرائیل و مرگ بر آمریکا در پارلمان ایران به نظر می‌رسد و شنیده می‌شود

امیر اوهانا، رییس کنست (پارلمان اسرائیل)، در سخنرانی خود در کنفرانس جهانی روسای پارلمان‌ها در ژنو به‌شدت محمدباقر قالیباف، رییس مجلس شورای اسلامی، را مورد انتقاد قرار داد.
اوهانا گفت قالیباف در این نشست تصویری جعلی را ارائه کرده که روزنامه نیویورک‌تایمز بابت آن عذرخواهی کرده است؛ تصویری از یک کودک در غزه که گفته شد دچار سوءتغذیه است، در حالی که وضعیت جسمی کودک به‌دلیل ابتلا به فلج مغزی بوده است.
اوهانا گفت: «قالیباف هیچ فرصتی را برای تکرار افترای خونین از دست نمی‌دهد. مایه ننگ است که چنین کسی رییس پارلمان باشد.»

اوهانا همچنین ویدیویی از جلسه مجلس شورای انقلاب اسلامی پخش کرد که در آن نمایندگان شعار «مرگ بر اسرائیل، مرگ بر آمریکا» سر می‌دادند.
او گفت: «پارلمان ایران که عضوی کامل از این مجمع است، آشکارا خواهان نابودی دو کشور مستقل است. متاسفانه بسیاری در برابر این لفاظی تهدیدآمیز سکوت کرده‌اند؛ درست همان‌طور که ۸۰ سال پیش اتفاق افتاد.»
                   

 https://www.instagram.com/reel/DMvcxvWs-2k/?igsh=MXEydWhhazR4NW80bA==","رئیس کنست اسرائیل: اینگونه فریادهای مرگ بر اسرائیل و مرگ بر آمریکا در پارلمان ایران به نظر می‌رسد و شنیده می‌شود
امیر اوهانا، رییس کنست (پارلمان اسرائیل)، در سخنرانی خود در کنفرانس جهانی روسای پارلمان‌ها در ژنو به‌شدت محمدباقر قالیباف، رییس مجلس شورای اسلامی، را مورد انتقاد قرار داد.
اوهانا گفت قالیباف در این نشست تصویری جعلی را ارائه کرده که روزنامه نیویورک‌تایمز بابت آن عذرخواهی کرده است؛ تصویری از یک کودک در غزه که گفته شد دچار سوتغذیه است، در حالی که وضعیت جسمی کودک به‌دلیل ابتلا به فلج مغزی بوده است.
اوهانا گفت: «قالیباف هیچ فرصتی را برای تکرار افترای خونین از دست نمی‌دهد. مایه ننگ است که چنین کسی رییس پارلمان باشد.»
اوهانا همچنین ویدیویی از جلسه مجلس شورای انقلاب اسلامی پخش کرد که در آن نمایندگان شعار «مرگ بر اسرائیل، مرگ بر آمریکا» سر می‌دادند.
او گفت: «پارلمان ایران که عضوی کامل از این مجمع است، آشکارا خواهان نابودی دو کشور مستقل است. متاسفانه بسیاری در برابر این لفاظی تهدیدآمیز سکوت کرده‌اند؛ درست همان‌طور که  ۸۰  سال پیش اتفاق افتاد.»
                   
 https://www.instagram.com/reel/DMvcxvWs- 2 k/؟igsh=MXEydWhhazR 4 NW 80 bA==",رادیو صدای اسراییل🇮🇱,channel1395701502,21:54:46,30/07/25,"👍:209,👏:35,❤:10,😁:7,👎:2,😱:2,💔:1",https://www.instagram.com/reel/DMvcxvWs-2k/?igsh=MXEydWhhazR4NW80bA==,,
1107560,"💢 بزرگترین بسته‌ تحریم علیه ایران؛ آمریکا شبکه کشتیرانی تحت کنترل حسین شمخانی را تحریم کرد

ایالات متحده آمریکا عصر چهارشنبه بزرگترین بسته‌ تحریم از سال ۲۰۱۸ میلادی تا کنون علیه ایران را به اجرا گذاشت.

بر اساس بیانیه منتشر شده از سوی وزارت خزانه‌داری، در چهارچوب این تحریم‌ها، آمریکا بیش از ۵۰ فرد و نهاد همچنین بیش از ۵۰ کشتی متعلق به شبکه گسترده کشتیرانی تحت کنترل محمد حسین شمخانی را تحریم کرد.","💢 بزرگترین بسته‌ تحریم علیه ایران؛ آمریکا شبکه کشتیرانی تحت کنترل حسین شمخانی را تحریم کرد
ایالات متحده آمریکا عصر چهارشنبه بزرگترین بسته‌ تحریم از سال  ۲۰۱۸  میلادی تا کنون علیه ایران را به اجرا گذاشت.
بر اساس بیانیه منتشر شده از سوی وزارت خزانه‌داری، در چهارچوب این تحریم‌ها، آمریکا بیش از  ۵۰  فرد و نهاد همچنین بیش از  ۵۰  کشتی متعلق به شبکه گسترده کشتیرانی تحت کنترل محمد حسین شمخانی را تحریم کرد.",رادیو صدای اسراییل🇮🇱,channel1395701502,01:17:51,31/07/25,"👍:190,👏:43,❤:8,👎:6,🤬:5,👌:4,🎉:2,🙏:2,🔥:1,🤔:1",,,
1107562,https://youtu.be/VD04cdhN4ZA,https://youtu.be/VD 04 cdhN 4 ZA,رادیو صدای اسراییل🇮🇱,channel1395701502,01:31:49,31/07/25,"👍:147,❤:19,😁:10,👌:9,👎:3,🙏:1",https://youtu.be/VD04cdhN4ZA,,
1107563,https://youtu.be/ldrUafaSJOI?si=crLu9_iwxMyrHMvB,https://youtu.be/ldrUafaSJOI؟si=crLu 9 _iwxMyrHMvB,رادیو صدای اسراییل🇮🇱,channel1395701502,02:57:22,31/07/25,"🙏:91,👍:20,❤:2,👏:2,🤔:2,👎:1,😁:1",https://youtu.be/ldrUafaSJOI?si=crLu9_iwxMyrHMvB,,
1107565,"*ملنی شیراز، دختر شایسته اسرائیل ۲۰۲۵ — افتخاری ایرانی-اسرائیلی*

ملنی شیراز، که به عنوان دختر شایسته اسرائیل در سال ۲۰۲۵ انتخاب شده، ریشه‌هایی ایرانی دارد. او در تاریخ ۲۱ نوامبر ۲۰۲۵ نماینده کشور اسرائیل در مسابقه جهانی «میس یونیورس» خواهد بود، که در سالن ایمپکت چَلِنجر در شهر پاک‌کرت، نونتابوری در تایلند برگزار می‌شود.

نام خانوادگی او به روشنی نشان می‌دهد که اصالتش به شهر شیراز در ایران بازمی‌گردد، و او بارها با افتخار از این میراث فرهنگی یاد کرده است. او با شور و احترام، عناصر فرهنگ و موسیقی ایرانی را در زندگی شخصی و هنری خود وارد می‌کند. به گفته خودش، موسیقی ایرانی تأثیر عمیقی بر او داشته و گاه واژه‌هایی فارسی را در آثارش می‌گنجاند.

فراتر از این موفقیت شخصی، ملنی نمادی‌ست از پیوند دیرینه و تاریخی میان ملت یهود و ملت ایران — رابطه‌ای که فراتر از مرزها، ملیت‌ها و زمان‌ها معنا دارد.","*ملنی شیراز، دختر شایسته اسرائیل  ۲۰۲۵  — افتخاری ایرانی-اسرائیلی*
ملنی شیراز، که به عنوان دختر شایسته اسرائیل در سال  ۲۰۲۵  انتخاب شده، ریشه‌هایی ایرانی دارد. او در تاریخ  ۲۱  نوامبر  ۲۰۲۵  نماینده کشور اسرائیل در مسابقه جهانی «میس یونیورس» خواهد بود، که در سالن ایمپکت چَلِنجر در شهر پاک‌کرت، نونتابوری در تایلند برگزار می‌شود.
نام خانوادگی او به روشنی نشان می‌دهد که اصالتش به شهر شیراز در ایران بازمی‌گردد، و او بارها با افتخار از این میراث فرهنگی یاد کرده است. او با شور و احترام، عناصر فرهنگ و موسیقی ایرانی را در زندگی شخصی و هنری خود وارد می‌کند. به گفته خودش، موسیقی ایرانی تاثیر عمیقی بر او داشته و گاه واژه‌هایی فارسی را در آثارش می‌گنجاند.
فراتر از این موفقیت شخصی، ملنی نمادی‌ست از پیوند دیرینه و تاریخی میان ملت یهود و ملت ایران — رابطه‌ای که فراتر از مرزها، ملیت‌ها و زمان‌ها معنا دارد.",رادیو صدای اسراییل🇮🇱,channel1395701502,08:44:06,31/07/25,"❤:289,👍:20,🥰:8,👎:7,👌:4,🤩:2,😁:1",,,
1107566,,,رادیو صدای اسراییل🇮🇱,channel1395701502,08:44:06,31/07/25,,,,
1107567,محسن رضایی: روز انتقام بزرگ و تنبیه شدید اسرائیل خواهد رسید و اسرائیل برای همیشه از صحنه جهان محو خواهد شد. 😇,محسن رضایی: روز انتقام بزرگ و تنبیه شدید اسرائیل خواهد رسید و اسرائیل برای همیشه از صحنه جهان محو خواهد شد. 😇,رادیو صدای اسراییل🇮🇱,channel1395701502,08:52:42,31/07/25,"😁:321,🤬:46,👍:27,👎:11,❤:7,🤔:5,🤩:2,😡:2,🔥:1",,,
1107571,"امروز درمیان حامیان جمهوری اسلامی ایران و در میان اعضای حماس، سالگرد کشته شدن «اسماعیل هنیه» رئیس دفتر سیاسی حماس گرامی داشته می‌شود.  
هنیه در جریان سفرش به تهران برای شرکت در مراسم تحلیف رئیس‌جمهور جدید ایران، «مسعود پزشکیان»، توسط اسرائیل هدف قرار گرفت و کشته شد.  

او نیمه‌شب همراه با محافظش، در محل اقامتشان در یکی از تأسیسات امنیتی سپاه پاسداران در شمال تهران، هدف حمله قرار گرفتند.  

این عملیات، یکی از ضربه‌های سنگین به رهبری حماس در خاک ایران بود.","امروز درمیان حامیان جمهوری اسلامی ایران و در میان اعضای حماس، سالگرد کشته شدن «اسماعیل هنیه» رئیس دفتر سیاسی حماس گرامی داشته می‌شود.  
هنیه در جریان سفرش به تهران برای شرکت در مراسم تحلیف رئیس‌جمهور جدید ایران، «مسعود پزشکیان»، توسط اسرائیل هدف قرار گرفت و کشته شد.  
او نیمه‌شب همراه با محافظش، در محل اقامتشان در یکی از تاسیسات امنیتی سپاه پاسداران در شمال تهران، هدف حمله قرار گرفتند.  
این عملیات، یکی از ضربه‌های سنگین به رهبری حماس در خاک ایران بود.",رادیو صدای اسراییل🇮🇱,channel1395701502,09:20:10,31/07/25,"👍:196,🎉:62,😁:8,❤:5,😢:3,👎:2,💔:1",,,
1107572,https://youtube.com/live/qOHbr7hqnw4?feature=share,https://youtube.com/live/qOHbr 7 hqnw 4 ؟feature=share,رادیو صدای اسراییل🇮🇱,channel1395701502,09:33:26,31/07/25,"❤:122,👍:27,🎉:9,👎:5,😁:2,🥰:1,🤬:1",https://youtube.com/live/qOHbr7hqnw4?feature=share,,
1107575,https://youtu.be/ldrUafaSJOI,,رادیو صدای اسراییل🇮🇱,channel1395701502,11:13:48,31/07/25,"👍:104,❤:7,😁:2",https://youtu.be/ldrUafaSJOI,,
